time_s,stage,pressure,volume,displacement,transducers,cell_pressure,back_pressure,pore_pressure,axial_displacement,cell_volume,back_volume,axial_load,local_axial_1_mv,local_axial_2_mv,local_radial_mv
35.01,Saturation,,,,"[-0.256, 8.08, -7.557, -0.143, -0.128, -0.129, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.143,-0.128,-0.129
36.03,Saturation,,,,"[-0.256, 8.08, -7.557, -0.147, -0.139, -0.136, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.147,-0.139,-0.136
37.01,Saturation,,,,"[-0.256, 8.08, -7.557, -0.157, -0.14, -0.136, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.157,-0.14,-0.136
38.02,Saturation,,,,"[-0.256, 8.08, -7.557, -0.147, -0.142, -0.138, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.147,-0.142,-0.138
39.02,Saturation,,,,"[-0.256, 8.08, -7.557, -0.143, -0.122, -0.125, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.143,-0.122,-0.125
40.02,Saturation,,,,"[-0.256, 8.08, -7.557, -0.145, -0.124, -0.122, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.145,-0.124,-0.122
41.01,Saturation,,,,"[-0.256, 8.08, -7.557, -0.143, -0.128, -0.121, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.143,-0.128,-0.121
42.02,Saturation,,,,"[-0.256, 8.08, -7.555, -0.133, -0.121, -0.119, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.133,-0.121,-0.119
43.03,Saturation,,,,"[-0.256, 8.08, -7.557, -0.131, -0.117, -0.123, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.131,-0.117,-0.123
44.04,Saturation,,,,"[-0.256, 8.08, -7.557, -0.134, -0.125, -0.123, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.134,-0.125,-0.123
45.04,Saturation,,,,"[-0.256, 8.08, -7.555, -0.145, -0.133, -0.128, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.145,-0.133,-0.128
46.03,Saturation,,,,"[-0.256, 8.08, -7.557, -0.142, -0.132, -0.127, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.142,-0.132,-0.127
47.04,Saturation,,,,"[-0.256, 8.08, -7.557, -0.135, -0.123, -0.123, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.135,-0.123,-0.123
48.04,Saturation,,,,"[-0.256, 8.08, -7.557, -0.135, -0.12, -0.116, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.135,-0.12,-0.116
49.04,Saturation,,,,"[-0.256, 8.08, -7.557, -0.13, -0.118, -0.113, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.13,-0.118,-0.113
50.03,Saturation,,,,"[-0.256, 8.08, -7.555, -0.132, -0.117, -0.121, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.132,-0.117,-0.121
51.03,Saturation,,,,"[-0.256, 8.08, -7.557, -0.128, -0.118, -0.117, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.128,-0.118,-0.117
52.04,Saturation,,,,"[-0.256, 8.08, -7.557, -0.132, -0.119, -0.114, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.132,-0.119,-0.114
53.03,Saturation,,,,"[-0.258, 8.08, -7.557, -0.119, -0.106, -0.101, -0.001, -0.001]",,,8.08,-7.557,,,-0.258,-0.119,-0.106,-0.101
54.03,Saturation,,,,"[-0.256, 8.08, -7.555, -0.137, -0.113, -0.115, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.137,-0.113,-0.115
55.03,Saturation,,,,"[-0.256, 8.08, -7.557, -0.128, -0.112, -0.11, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.128,-0.112,-0.11
56.04,Saturation,,,,"[-0.256, 8.08, -7.557, -0.123, -0.112, -0.114, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.123,-0.112,-0.114
57.03,Saturation,,,,"[-0.256, 8.08, -7.557, -0.14, -0.128, -0.124, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.14,-0.128,-0.124
58.04,Saturation,,,,"[-0.256, 8.08, -7.557, -0.123, -0.11, -0.107, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.123,-0.11,-0.107
59.03,Saturation,,,,"[-0.256, 8.08, -7.555, -0.126, -0.109, -0.108, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.126,-0.109,-0.108
60.04,Saturation,,,,"[-0.256, 8.08, -7.555, -0.116, -0.108, -0.103, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.116,-0.108,-0.103
1.12,B Test,,,,"[-0.256, 8.08, -7.557, -0.139, -0.117, -0.117, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.139,-0.117,-0.117
2.12,B Test,,,,"[-0.256, 8.08, -7.555, -0.127, -0.114, -0.107, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.127,-0.114,-0.107
3.12,B Test,,,,"[-0.256, 8.08, -7.557, -0.117, -0.104, -0.105, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.117,-0.104,-0.105
4.12,B Test,,,,"[-0.256, 8.08, -7.557, -0.129, -0.11, -0.099, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.129,-0.11,-0.099
5.13,B Test,,,,"[-0.256, 8.08, -7.555, -0.133, -0.115, -0.108, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.133,-0.115,-0.108
6.12,B Test,,,,"[-0.256, 8.08, -7.555, -0.127, -0.107, -0.106, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.127,-0.107,-0.106
7.13,B Test,,,,"[-0.256, 8.08, -7.557, -0.134, -0.115, -0.114, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.134,-0.115,-0.114
8.15,B Test,,,,"[-0.256, 8.08, -7.557, -0.123, -0.106, -0.106, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.123,-0.106,-0.106
9.15,B Test,,,,"[-0.256, 8.08, -7.557, -0.118, -0.101, -0.1, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.118,-0.101,-0.1
10.15,B Test,,,,"[-0.255, 8.08, -7.557, -0.134, -0.118, -0.117, -0.001, -0.001]",,,8.08,-7.557,,,-0.255,-0.134,-0.118,-0.117
11.16,B Test,,,,"[-0.256, 8.08, -7.557, -0.127, -0.116, -0.109, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.127,-0.116,-0.109
12.16,B Test,,,,"[-0.256, 8.08, -7.555, -0.138, -0.116, -0.109, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.138,-0.116,-0.109
13.16,B Test,,,,"[-0.256, 8.08, -7.555, -0.134, -0.122, -0.113, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.134,-0.122,-0.113
14.16,B Test,,,,"[-0.256, 8.08, -7.555, -0.122, -0.109, -0.111, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.122,-0.109,-0.111
15.16,B Test,,,,"[-0.256, 8.08, -7.557, -0.125, -0.108, -0.103, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.125,-0.108,-0.103
16.16,B Test,,,,"[-0.256, 8.08, -7.555, -0.118, -0.106, -0.1, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.118,-0.106,-0.1
17.15,B Test,,,,"[-0.256, 8.08, -7.557, -0.122, -0.105, -0.108, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.122,-0.105,-0.108
18.15,B Test,,,,"[-0.255, 8.08, -7.557, -0.11, -0.1, -0.096, -0.001, -0.001]",,,8.08,-7.557,,,-0.255,-0.11,-0.1,-0.096
19.15,B Test,,,,"[-0.256, 8.08, -7.555, -0.111, -0.101, -0.099, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.111,-0.101,-0.099
20.16,B Test,,,,"[-0.256, 8.08, -7.555, -0.132, -0.115, -0.112, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.132,-0.115,-0.112
21.15,B Test,,,,"[-0.256, 8.08, -7.557, -0.129, -0.119, -0.117, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.129,-0.119,-0.117
22.16,B Test,,,,"[-0.256, 8.08, -7.557, -0.139, -0.121, -0.121, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.139,-0.121,-0.121
23.16,B Test,,,,"[-0.256, 8.08, -7.555, -0.132, -0.124, -0.119, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.132,-0.124,-0.119
24.15,B Test,,,,"[-0.256, 8.08, -7.557, -0.129, -0.11, -0.116, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.129,-0.11,-0.116
25.16,B Test,,,,"[-0.256, 8.08, -7.555, -0.132, -0.125, -0.12, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.132,-0.125,-0.12
26.15,B Test,,,,"[-0.255, 8.08, -7.557, -0.146, -0.128, -0.124, -0.001, -0.001]",,,8.08,-7.557,,,-0.255,-0.146,-0.128,-0.124
27.16,B Test,,,,"[-0.256, 8.08, -7.555, -0.141, -0.121, -0.114, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.141,-0.121,-0.114
28.15,B Test,,,,"[-0.256, 8.08, -7.557, -0.136, -0.129, -0.127, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.136,-0.129,-0.127
29.16,B Test,,,,"[-0.256, 8.08, -7.557, -0.13, -0.121, -0.12, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.13,-0.121,-0.12
30.15,B Test,,,,"[-0.256, 8.08, -7.555, -0.136, -0.122, -0.121, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.136,-0.122,-0.121
31.15,B Test,,,,"[-0.255, 8.08, -7.557, -0.129, -0.116, -0.113, -0.001, -0.001]",,,8.08,-7.557,,,-0.255,-0.129,-0.116,-0.113
32.16,B Test,,,,"[-0.256, 8.08, -7.557, -0.128, -0.114, -0.11, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.128,-0.114,-0.11
33.15,B Test,,,,"[-0.256, 8.08, -7.557, -0.135, -0.12, -0.12, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.135,-0.12,-0.12
34.16,B Test,,,,"[-0.256, 8.08, -7.555, -0.115, -0.099, -0.101, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.115,-0.099,-0.101
35.16,B Test,,,,"[-0.256, 8.08, -7.557, -0.116, -0.101, -0.098, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.116,-0.101,-0.098
36.16,B Test,,,,"[-0.256, 8.08, -7.557, -0.141, -0.117, -0.113, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.141,-0.117,-0.113
37.15,B Test,,,,"[-0.255, 8.08, -7.557, -0.129, -0.117, -0.109, -0.001, -0.001]",,,8.08,-7.557,,,-0.255,-0.129,-0.117,-0.109
38.15,B Test,,,,"[-0.256, 8.08, -7.557, -0.118, -0.103, -0.109, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.118,-0.103,-0.109
39.15,B Test,,,,"[-0.256, 8.08, -7.555, -0.133, -0.12, -0.12, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.133,-0.12,-0.12
40.15,B Test,,,,"[-0.256, 8.08, -7.557, -0.141, -0.133, -0.132, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.141,-0.133,-0.132
41.17,B Test,,,,"[-0.256, 8.08, -7.557, -0.128, -0.114, -0.114, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.128,-0.114,-0.114
42.15,B Test,,,,"[-0.256, 8.08, -7.557, -0.12, -0.101, -0.108, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.12,-0.101,-0.108
43.16,B Test,,,,"[-0.256, 8.08, -7.557, -0.128, -0.108, -0.111, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.128,-0.108,-0.111
44.16,B Test,,,,"[-0.256, 8.08, -7.555, -0.122, -0.111, -0.113, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.122,-0.111,-0.113
45.16,B Test,,,,"[-0.256, 8.08, -7.557, -0.119, -0.111, -0.113, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.119,-0.111,-0.113
46.15,B Test,,,,"[-0.256, 8.08, -7.557, -0.135, -0.116, -0.108, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.135,-0.116,-0.108
47.16,B Test,,,,"[-0.256, 8.08, -7.557, -0.13, -0.113, -0.112, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.13,-0.113,-0.112
48.15,B Test,,,,"[-0.256, 8.08, -7.557, -0.127, -0.113, -0.114, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.127,-0.113,-0.114
49.16,B Test,,,,"[-0.256, 8.08, -7.555, -0.133, -0.114, -0.108, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.133,-0.114,-0.108
50.15,B Test,,,,"[-0.256, 8.08, -7.555, -0.125, -0.109, -0.112, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.125,-0.109,-0.112
51.16,B Test,,,,"[-0.256, 8.08, -7.557, -0.119, -0.107, -0.105, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.119,-0.107,-0.105
52.16,B Test,,,,"[-0.256, 8.08, -7.555, -0.128, -0.116, -0.103, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.128,-0.116,-0.103
53.16,B Test,,,,"[-0.255, 8.08, -7.557, -0.125, -0.117, -0.11, -0.001, -0.001]",,,8.08,-7.557,,,-0.255,-0.125,-0.117,-0.11
54.16,B Test,,,,"[-0.256, 8.08, -7.557, -0.135, -0.121, -0.121, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.135,-0.121,-0.121
55.16,B Test,,,,"[-0.256, 8.08, -7.557, -0.136, -0.118, -0.108, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.136,-0.118,-0.108
56.15,B Test,,,,"[-0.256, 8.08, -7.557, -0.142, -0.129, -0.128, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.142,-0.129,-0.128
57.16,B Test,,,,"[-0.256, 8.08, -7.557, -0.149, -0.135, -0.123, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.149,-0.135,-0.123
58.16,B Test,,,,"[-0.256, 8.08, -7.557, -0.135, -0.128, -0.124, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.135,-0.128,-0.124
59.15,B Test,,,,"[-0.256, 8.08, -7.555, -0.148, -0.136, -0.138, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.148,-0.136,-0.138
60.16,B Test,,,,"[-0.256, 8.08, -7.557, -0.151, -0.13, -0.123, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.151,-0.13,-0.123
61.15,B Test,,,,"[-0.256, 8.08, -7.557, -0.147, -0.132, -0.128, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.147,-0.132,-0.128
62.15,B Test,,,,"[-0.256, 8.08, -7.557, -0.146, -0.13, -0.135, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.146,-0.13,-0.135
63.16,B Test,,,,"[-0.256, 8.08, -7.555, -0.15, -0.137, -0.135, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.15,-0.137,-0.135
64.16,B Test,,,,"[-0.256, 8.08, -7.555, -0.137, -0.121, -0.116, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.137,-0.121,-0.116
65.15,B Test,,,,"[-0.256, 8.08, -7.555, -0.135, -0.127, -0.126, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.135,-0.127,-0.126
66.15,B Test,,,,"[-0.256, 8.08, -7.557, -0.152, -0.134, -0.133, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.152,-0.134,-0.133
67.15,B Test,,,,"[-0.256, 8.08, -7.557, -0.138, -0.131, -0.127, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.138,-0.131,-0.127
68.17,B Test,,,,"[-0.255, 8.08, -7.557, -0.157, -0.14, -0.133, -0.001, -0.001]",,,8.08,-7.557,,,-0.255,-0.157,-0.14,-0.133
69.16,B Test,,,,"[-0.256, 8.08, -7.557, -0.149, -0.135, -0.132, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.149,-0.135,-0.132
70.16,B Test,,,,"[-0.255, 8.08, -7.555, -0.143, -0.13, -0.125, -0.001, -0.001]",,,8.08,-7.555,,,-0.255,-0.143,-0.13,-0.125
71.15,B Test,,,,"[-0.256, 8.08, -7.557, -0.146, -0.128, -0.126, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.146,-0.128,-0.126
72.16,B Test,,,,"[-0.256, 8.08, -7.557, -0.142, -0.128, -0.127, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.142,-0.128,-0.127
73.16,B Test,,,,"[-0.256, 8.08, -7.555, -0.152, -0.139, -0.135, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.152,-0.139,-0.135
74.16,B Test,,,,"[-0.256, 8.08, -7.555, -0.132, -0.116, -0.113, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.132,-0.116,-0.113
75.15,B Test,,,,"[-0.256, 8.08, -7.555, -0.13, -0.116, -0.11, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.13,-0.116,-0.11
76.16,B Test,,,,"[-0.256, 8.08, -7.557, -0.111, -0.11, -0.1, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.111,-0.11,-0.1
77.17,B Test,,,,"[-0.255, 8.08, -7.555, -0.132, -0.116, -0.111, -0.001, -0.001]",,,8.08,-7.555,,,-0.255,-0.132,-0.116,-0.111
78.15,B Test,,,,"[-0.255, 8.08, -7.557, -0.125, -0.104, -0.102, -0.001, -0.001]",,,8.08,-7.557,,,-0.255,-0.125,-0.104,-0.102
79.16,B Test,,,,"[-0.256, 8.08, -7.555, -0.134, -0.128, -0.122, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.134,-0.128,-0.122
80.15,B Test,,,,"[-0.256, 8.08, -7.555, -0.135, -0.119, -0.117, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.135,-0.119,-0.117
81.15,B Test,,,,"[-0.256, 8.08, -7.557, -0.118, -0.108, -0.106, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.118,-0.108,-0.106
82.15,B Test,,,,"[-0.256, 8.08, -7.557, -0.121, -0.109, -0.108, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.121,-0.109,-0.108
83.16,B Test,,,,"[-0.256, 8.08, -7.557, -0.133, -0.113, -0.106, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.133,-0.113,-0.106
84.15,B Test,,,,"[-0.256, 8.08, -7.557, -0.147, -0.127, -0.123, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.147,-0.127,-0.123
85.15,B Test,,,,"[-0.256, 8.08, -7.557, -0.13, -0.117, -0.115, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.13,-0.117,-0.115
86.16,B Test,,,,"[-0.256, 8.08, -7.557, -0.138, -0.129, -0.122, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.138,-0.129,-0.122
87.15,B Test,,,,"[-0.255, 8.08, -7.557, -0.137, -0.119, -0.117, -0.001, -0.001]",,,8.08,-7.557,,,-0.255,-0.137,-0.119,-0.117
88.16,B Test,,,,"[-0.256, 8.08, -7.557, -0.136, -0.116, -0.114, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.136,-0.116,-0.114
89.16,B Test,,,,"[-0.256, 8.08, -7.557, -0.142, -0.125, -0.122, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.142,-0.125,-0.122
90.16,B Test,,,,"[-0.256, 8.08, -7.555, -0.144, -0.133, -0.141, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.144,-0.133,-0.141
91.16,B Test,,,,"[-0.256, 8.08, -7.557, -0.149, -0.128, -0.124, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.149,-0.128,-0.124
92.15,B Test,,,,"[-0.255, 8.08, -7.555, -0.143, -0.132, -0.127, -0.001, -0.001]",,,8.08,-7.555,,,-0.255,-0.143,-0.132,-0.127
93.15,B Test,,,,"[-0.256, 8.08, -7.557, -0.126, -0.115, -0.113, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.126,-0.115,-0.113
94.15,B Test,,,,"[-0.256, 8.08, -7.557, -0.133, -0.12, -0.108, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.133,-0.12,-0.108
95.16,B Test,,,,"[-0.256, 8.08, -7.555, -0.149, -0.137, -0.137, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.149,-0.137,-0.137
96.15,B Test,,,,"[-0.256, 8.08, -7.557, -0.147, -0.132, -0.13, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.147,-0.132,-0.13
97.16,B Test,,,,"[-0.256, 8.08, -7.557, -0.127, -0.119, -0.114, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.127,-0.119,-0.114
98.15,B Test,,,,"[-0.256, 8.08, -7.555, -0.127, -0.108, -0.107, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.127,-0.108,-0.107
