time_s,stage,pressure,volume,displacement,transducers,cell_pressure,back_pressure,pore_pressure,axial_displacement,cell_volume,back_volume,axial_load,local_axial_1_mv,local_axial_2_mv,local_radial_mv
1.0,Saturation,,,,"[-0.256, 8.08, -7.555, -0.136, -0.128, -0.123, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.136,-0.128,-0.123
2.01,Saturation,,,,"[-0.256, 8.08, -7.555, -0.138, -0.13, -0.122, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.138,-0.13,-0.122
3.0,Saturation,,,,"[-0.256, 8.08, -7.557, -0.125, -0.122, -0.115, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.125,-0.122,-0.115
4.0,Saturation,,,,"[-0.256, 8.08, -7.555, -0.13, -0.121, -0.12, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.13,-0.121,-0.12
5.0,Saturation,,,,"[-0.255, 8.08, -7.557, -0.129, -0.121, -0.126, -0.001, -0.001]",,,8.08,-7.557,,,-0.255,-0.129,-0.121,-0.126
6.0,Saturation,,,,"[-0.256, 8.08, -7.557, -0.137, -0.125, -0.122, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.137,-0.125,-0.122
7.01,Saturation,,,,"[-0.256, 8.08, -7.555, -0.127, -0.114, -0.109, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.127,-0.114,-0.109
8.0,Saturation,,,,"[-0.256, 8.08, -7.555, -0.143, -0.131, -0.121, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.143,-0.131,-0.121
9.01,Saturation,,,,"[-0.256, 8.08, -7.557, -0.127, -0.115, -0.116, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.127,-0.115,-0.116
10.0,Saturation,,,,"[-0.255, 8.08, -7.557, -0.127, -0.114, -0.115, -0.001, -0.001]",,,8.08,-7.557,,,-0.255,-0.127,-0.114,-0.115
11.01,Saturation,,,,"[-0.256, 8.08, -7.555, -0.124, -0.109, -0.108, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.124,-0.109,-0.108
12.0,Saturation,,,,"[-0.256, 8.08, -7.557, -0.119, -0.115, -0.12, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.119,-0.115,-0.12
13.01,Saturation,,,,"[-0.256, 8.08, -7.557, -0.144, -0.129, -0.121, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.144,-0.129,-0.121
14.0,Saturation,,,,"[-0.256, 8.08, -7.555, -0.133, -0.116, -0.112, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.133,-0.116,-0.112
15.0,Saturation,,,,"[-0.256, 8.08, -7.557, -0.127, -0.114, -0.11, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.127,-0.114,-0.11
16.01,Saturation,,,,"[-0.255, 8.08, -7.555, -0.127, -0.108, -0.106, -0.001, -0.001]",,,8.08,-7.555,,,-0.255,-0.127,-0.108,-0.106
17.0,Saturation,,,,"[-0.256, 8.08, -7.557, -0.132, -0.117, -0.107, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.132,-0.117,-0.107
18.01,Saturation,,,,"[-0.256, 8.08, -7.555, -0.128, -0.116, -0.114, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.128,-0.116,-0.114
19.01,Saturation,,,,"[-0.256, 8.08, -7.555, -0.135, -0.122, -0.12, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.135,-0.122,-0.12
20.0,Saturation,,,,"[-0.256, 8.08, -7.557, -0.125, -0.114, -0.11, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.125,-0.114,-0.11
21.01,Saturation,,,,"[-0.256, 8.08, -7.557, -0.128, -0.115, -0.114, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.128,-0.115,-0.114
22.0,Saturation,,,,"[-0.256, 8.08, -7.555, -0.127, -0.116, -0.111, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.127,-0.116,-0.111
23.0,Saturation,,,,"[-0.256, 8.08, -7.555, -0.133, -0.12, -0.108, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.133,-0.12,-0.108
24.01,Saturation,,,,"[-0.256, 8.08, -7.557, -0.109, -0.098, -0.094, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.109,-0.098,-0.094
25.0,Saturation,,,,"[-0.256, 8.08, -7.555, -0.114, -0.099, -0.097, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.114,-0.099,-0.097
26.0,Saturation,,,,"[-0.256, 8.08, -7.557, -0.125, -0.111, -0.114, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.125,-0.111,-0.114
27.01,Saturation,,,,"[-0.255, 8.08, -7.555, -0.127, -0.11, -0.109, -0.001, -0.001]",,,8.08,-7.555,,,-0.255,-0.127,-0.11,-0.109
28.0,Saturation,,,,"[-0.256, 8.08, -7.557, -0.125, -0.107, -0.107, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.125,-0.107,-0.107
29.01,Saturation,,,,"[-0.256, 8.08, -7.557, -0.133, -0.126, -0.124, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.133,-0.126,-0.124
30.0,Saturation,,,,"[-0.256, 8.08, -7.555, -0.137, -0.132, -0.122, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.137,-0.132,-0.122
31.01,Saturation,,,,"[-0.256, 8.08, -7.557, -0.156, -0.135, -0.135, -0.001, -0.001]",,,8.08,-7.557,,,-0.256,-0.156,-0.135,-0.135
32.0,Saturation,,,,"[-0.255, 8.08, -7.555, -0.136, -0.125, -0.12, -0.001, -0.001]",,,8.08,-7.555,,,-0.255,-0.136,-0.125,-0.12
33.01,Saturation,,,,"[-0.256, 8.08, -7.555, -0.146, -0.131, -0.123, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.146,-0.131,-0.123
34.03,Saturation,,,,"[-0.256, 8.08, -7.555, -0.145, -0.131, -0.125, -0.001, -0.001]",,,8.08,-7.555,,,-0.256,-0.145,-0.131,-0.125
