time_s,stage,pressure,volume,displacement,transducers,cell_pressure,back_pressure,pore_pressure,axial_displacement,cell_volume,back_volume,axial_load,local_axial_1_mv,local_axial_2_mv,local_radial_mv
52.01,Saturation,,,,"[-0.255, 7.975, -7.555, -0.148, -0.128, -0.125, -0.001, -0.001]",,,7.975,-7.555,,,-0.255,-0.148,-0.128,-0.125
53.0,Saturation,,,,"[-0.256, 7.975, -7.555, -0.133, -0.114, -0.116, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.133,-0.114,-0.116
54.0,Saturation,,,,"[-0.256, 7.975, -7.555, -0.142, -0.125, -0.124, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.142,-0.125,-0.124
55.0,Saturation,,,,"[-0.256, 7.975, -7.555, -0.145, -0.124, -0.124, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.145,-0.124,-0.124
56.01,Saturation,,,,"[-0.256, 7.975, -7.555, -0.136, -0.124, -0.122, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.136,-0.124,-0.122
57.0,Saturation,,,,"[-0.256, 7.975, -7.555, -0.126, -0.11, -0.116, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.126,-0.11,-0.116
58.01,Saturation,,,,"[-0.256, 7.975, -7.555, -0.138, -0.125, -0.121, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.138,-0.125,-0.121
59.01,Saturation,,,,"[-0.256, 7.975, -7.555, -0.137, -0.12, -0.127, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.137,-0.12,-0.127
60.0,Saturation,,,,"[-0.256, 7.975, -7.555, -0.133, -0.118, -0.112, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.133,-0.118,-0.112
0.99,Shear,,,,"[-0.256, 7.975, -7.555, -0.15, -0.13, -0.126, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.15,-0.13,-0.126
2.01,Shear,,,,"[-0.256, 7.975, -7.555, -0.132, -0.114, -0.113, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.132,-0.114,-0.113
3.01,Shear,,,,"[-0.256, 7.975, -7.555, -0.15, -0.127, -0.129, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.15,-0.127,-0.129
4.0,Shear,,,,"[-0.256, 7.975, -7.555, -0.143, -0.129, -0.12, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.143,-0.129,-0.12
5.0,Shear,,,,"[-0.255, 7.975, -7.555, -0.141, -0.124, -0.123, -0.001, -0.001]",,,7.975,-7.555,,,-0.255,-0.141,-0.124,-0.123
6.01,Shear,,,,"[-0.256, 7.975, -7.555, -0.141, -0.129, -0.128, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.141,-0.129,-0.128
7.0,Shear,,,,"[-0.256, 7.975, -7.557, -0.136, -0.124, -0.124, -0.001, -0.001]",,,7.975,-7.557,,,-0.256,-0.136,-0.124,-0.124
8.0,Shear,,,,"[-0.256, 7.975, -7.555, -0.136, -0.131, -0.124, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.136,-0.131,-0.124
9.0,Shear,,,,"[-0.256, 7.975, -7.555, -0.142, -0.136, -0.137, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.142,-0.136,-0.137
9.99,Shear,,,,"[-0.256, 7.975, -7.555, -0.153, -0.144, -0.137, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.153,-0.144,-0.137
11.0,Shear,,,,"[-0.256, 7.975, -7.555, -0.152, -0.137, -0.139, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.152,-0.137,-0.139
12.01,Shear,,,,"[-0.256, 7.975, -7.555, -0.142, -0.13, -0.128, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.142,-0.13,-0.128
13.0,Shear,,,,"[-0.256, 7.975, -7.557, -0.137, -0.127, -0.127, -0.001, -0.001]",,,7.975,-7.557,,,-0.256,-0.137,-0.127,-0.127
14.0,Shear,,,,"[-0.256, 7.975, -7.557, -0.138, -0.125, -0.129, -0.001, -0.001]",,,7.975,-7.557,,,-0.256,-0.138,-0.125,-0.129
15.0,Shear,,,,"[-0.256, 7.975, -7.555, -0.151, -0.135, -0.134, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.151,-0.135,-0.134
16.0,Shear,,,,"[-0.258, 7.975, -7.557, -0.146, -0.134, -0.124, -0.001, -0.001]",,,7.975,-7.557,,,-0.258,-0.146,-0.134,-0.124
17.0,Shear,,,,"[-0.256, 7.975, -7.555, -0.137, -0.124, -0.124, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.137,-0.124,-0.124
18.01,Shear,,,,"[-0.256, 7.975, -7.555, -0.14, -0.123, -0.123, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.14,-0.123,-0.123
19.01,Shear,,,,"[-0.256, 7.975, -7.555, -0.142, -0.129, -0.133, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.142,-0.129,-0.133
20.0,Shear,,,,"[-0.256, 7.975, -7.555, -0.135, -0.126, -0.13, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.135,-0.126,-0.13
21.01,Shear,,,,"[-0.256, 7.975, -7.555, -0.139, -0.128, -0.13, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.139,-0.128,-0.13
22.0,Shear,,,,"[-0.256, 7.975, -7.557, -0.147, -0.129, -0.139, -0.001, -0.001]",,,7.975,-7.557,,,-0.256,-0.147,-0.129,-0.139
23.0,Shear,,,,"[-0.256, 7.975, -7.557, -0.134, -0.116, -0.117, -0.001, -0.001]",,,7.975,-7.557,,,-0.256,-0.134,-0.116,-0.117
24.0,Shear,,,,"[-0.256, 7.975, -7.555, -0.143, -0.126, -0.12, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.143,-0.126,-0.12
24.99,Shear,,,,"[-0.256, 7.975, -7.557, -0.134, -0.12, -0.116, -0.001, -0.001]",,,7.975,-7.557,,,-0.256,-0.134,-0.12,-0.116
26.01,Shear,,,,"[-0.256, 7.975, -7.555, -0.128, -0.113, -0.109, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.128,-0.113,-0.109
27.0,Shear,,,,"[-0.256, 7.975, -7.555, -0.128, -0.103, -0.107, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.128,-0.103,-0.107
28.01,Shear,,,,"[-0.256, 7.975, -7.555, -0.133, -0.11, -0.111, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.133,-0.11,-0.111
29.0,Shear,,,,"[-0.256, 7.975, -7.555, -0.128, -0.121, -0.113, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.128,-0.121,-0.113
30.0,Shear,,,,"[-0.256, 7.975, -7.557, -0.13, -0.116, -0.107, -0.001, -0.001]",,,7.975,-7.557,,,-0.256,-0.13,-0.116,-0.107
31.01,Shear,,,,"[-0.256, 7.975, -7.555, -0.136, -0.123, -0.128, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.136,-0.123,-0.128
32.01,Shear,,,,"[-0.256, 7.975, -7.555, -0.133, -0.125, -0.12, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.133,-0.125,-0.12
33.0,Shear,,,,"[-0.256, 7.975, -7.555, -0.132, -0.12, -0.117, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.132,-0.12,-0.117
33.99,Shear,,,,"[-0.255, 7.975, -7.555, -0.134, -0.118, -0.126, -0.001, -0.001]",,,7.975,-7.555,,,-0.255,-0.134,-0.118,-0.126
35.0,Shear,,,,"[-0.255, 7.975, -7.557, -0.136, -0.126, -0.121, -0.001, -0.001]",,,7.975,-7.557,,,-0.255,-0.136,-0.126,-0.121
36.01,Shear,,,,"[-0.256, 7.975, -7.555, -0.137, -0.121, -0.117, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.137,-0.121,-0.117
37.0,Shear,,,,"[-0.255, 7.975, -7.555, -0.148, -0.132, -0.133, -0.001, -0.001]",,,7.975,-7.555,,,-0.255,-0.148,-0.132,-0.133
38.01,Shear,,,,"[-0.258, 7.975, -7.555, -0.144, -0.126, -0.123, -0.001, -0.001]",,,7.975,-7.555,,,-0.258,-0.144,-0.126,-0.123
39.01,Shear,,,,"[-0.256, 7.975, -7.555, -0.136, -0.125, -0.118, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.136,-0.125,-0.118
40.0,Shear,,,,"[-0.259, 7.975, -7.555, -0.125, -0.111, -0.11, -0.001, -0.001]",,,7.975,-7.555,,,-0.259,-0.125,-0.111,-0.11
41.01,Shear,,,,"[-0.258, 7.975, -7.557, -0.124, -0.12, -0.117, -0.001, -0.001]",,,7.975,-7.557,,,-0.258,-0.124,-0.12,-0.117
42.0,Shear,,,,"[-0.259, 7.975, -7.555, -0.144, -0.128, -0.12, -0.001, -0.001]",,,7.975,-7.555,,,-0.259,-0.144,-0.128,-0.12
43.0,Shear,,,,"[-0.256, 7.975, -7.555, -0.138, -0.12, -0.115, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.138,-0.12,-0.115
43.99,Shear,,,,"[-0.256, 7.975, -7.555, -0.138, -0.121, -0.116, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.138,-0.121,-0.116
45.0,Shear,,,,"[-0.256, 7.975, -7.555, -0.137, -0.131, -0.122, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.137,-0.131,-0.122
46.0,Shear,,,,"[-0.256, 7.975, -7.555, -0.144, -0.126, -0.127, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.144,-0.126,-0.127
47.0,Shear,,,,"[-0.256, 7.975, -7.555, -0.131, -0.123, -0.119, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.131,-0.123,-0.119
47.99,Shear,,,,"[-0.256, 7.975, -7.555, -0.132, -0.121, -0.117, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.132,-0.121,-0.117
49.01,Shear,,,,"[-0.256, 7.975, -7.557, -0.148, -0.135, -0.127, -0.001, -0.001]",,,7.975,-7.557,,,-0.256,-0.148,-0.135,-0.127
50.0,Shear,,,,"[-0.256, 7.975, -7.555, -0.141, -0.126, -0.116, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.141,-0.126,-0.116
51.0,Shear,,,,"[-0.256, 7.975, -7.557, -0.146, -0.139, -0.136, -0.001, -0.001]",,,7.975,-7.557,,,-0.256,-0.146,-0.139,-0.136
52.0,Shear,,,,"[-0.256, 7.975, -7.555, -0.138, -0.125, -0.126, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.138,-0.125,-0.126
53.0,Shear,,,,"[-0.256, 7.975, -7.555, -0.147, -0.129, -0.135, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.147,-0.129,-0.135
53.99,Shear,,,,"[-0.256, 7.975, -7.555, -0.142, -0.135, -0.13, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.142,-0.135,-0.13
54.99,Shear,,,,"[-0.256, 7.975, -7.555, -0.149, -0.136, -0.131, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.149,-0.136,-0.131
56.0,Shear,,,,"[-0.256, 7.975, -7.555, -0.146, -0.124, -0.121, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.146,-0.124,-0.121
57.0,Shear,,,,"[-0.256, 7.975, -7.555, -0.148, -0.137, -0.135, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.148,-0.137,-0.135
58.0,Shear,,,,"[-0.256, 7.975, -7.555, -0.141, -0.125, -0.125, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.141,-0.125,-0.125
59.0,Shear,,,,"[-0.256, 7.975, -7.557, -0.136, -0.122, -0.117, -0.001, -0.001]",,,7.975,-7.557,,,-0.256,-0.136,-0.122,-0.117
60.0,Shear,,,,"[-0.256, 7.975, -7.557, -0.137, -0.128, -0.124, -0.001, -0.001]",,,7.975,-7.557,,,-0.256,-0.137,-0.128,-0.124
61.0,Shear,,,,"[-0.256, 7.975, -7.555, -0.139, -0.127, -0.121, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.139,-0.127,-0.121
62.0,Shear,,,,"[-0.255, 7.975, -7.555, -0.131, -0.113, -0.113, -0.001, -0.001]",,,7.975,-7.555,,,-0.255,-0.131,-0.113,-0.113
63.0,Shear,,,,"[-0.256, 7.975, -7.557, -0.13, -0.115, -0.114, -0.001, -0.001]",,,7.975,-7.557,,,-0.256,-0.13,-0.115,-0.114
64.0,Shear,,,,"[-0.255, 7.975, -7.557, -0.128, -0.123, -0.12, -0.001, -0.001]",,,7.975,-7.557,,,-0.255,-0.128,-0.123,-0.12
65.0,Shear,,,,"[-0.256, 7.975, -7.555, -0.133, -0.114, -0.112, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.133,-0.114,-0.112
66.01,Shear,,,,"[-0.256, 7.975, -7.555, -0.129, -0.116, -0.107, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.129,-0.116,-0.107
67.0,Shear,,,,"[-0.256, 7.975, -7.557, -0.143, -0.126, -0.122, -0.001, -0.001]",,,7.975,-7.557,,,-0.256,-0.143,-0.126,-0.122
68.01,Shear,,,,"[-0.256, 7.975, -7.555, -0.123, -0.115, -0.105, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.123,-0.115,-0.105
69.01,Shear,,,,"[-0.256, 7.975, -7.555, -0.127, -0.113, -0.107, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.127,-0.113,-0.107
70.0,Shear,,,,"[-0.256, 7.975, -7.557, -0.126, -0.111, -0.107, -0.001, -0.001]",,,7.975,-7.557,,,-0.256,-0.126,-0.111,-0.107
70.99,Shear,,,,"[-0.256, 7.975, -7.555, -0.125, -0.119, -0.116, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.125,-0.119,-0.116
72.0,Shear,,,,"[-0.256, 7.975, -7.557, -0.129, -0.118, -0.117, -0.001, -0.001]",,,7.975,-7.557,,,-0.256,-0.129,-0.118,-0.117
73.01,Shear,,,,"[-0.255, 7.975, -7.555, -0.133, -0.117, -0.111, -0.001, -0.001]",,,7.975,-7.555,,,-0.255,-0.133,-0.117,-0.111
74.0,Shear,,,,"[-0.256, 7.975, -7.555, -0.126, -0.113, -0.112, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.126,-0.113,-0.112
75.01,Shear,,,,"[-0.255, 7.975, -7.555, -0.119, -0.102, -0.103, -0.001, -0.001]",,,7.975,-7.555,,,-0.255,-0.119,-0.102,-0.103
76.0,Shear,,,,"[-0.256, 7.975, -7.557, -0.125, -0.117, -0.117, -0.001, -0.001]",,,7.975,-7.557,,,-0.256,-0.125,-0.117,-0.117
77.01,Shear,,,,"[-0.256, 7.975, -7.555, -0.13, -0.116, -0.114, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.13,-0.116,-0.114
78.0,Shear,,,,"[-0.256, 7.975, -7.555, -0.137, -0.125, -0.122, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.137,-0.125,-0.122
79.0,Shear,,,,"[-0.256, 7.975, -7.557, -0.142, -0.133, -0.129, -0.001, -0.001]",,,7.975,-7.557,,,-0.256,-0.142,-0.133,-0.129
79.99,Shear,,,,"[-0.256, 7.975, -7.555, -0.14, -0.119, -0.119, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.14,-0.119,-0.119
81.0,Shear,,,,"[-0.256, 7.975, -7.555, -0.14, -0.132, -0.124, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.14,-0.132,-0.124
82.01,Shear,,,,"[-0.255, 7.975, -7.555, -0.146, -0.136, -0.125, -0.001, -0.001]",,,7.975,-7.555,,,-0.255,-0.146,-0.136,-0.125
83.02,Shear,,,,"[-0.258, 7.975, -7.555, -0.148, -0.142, -0.138, -0.001, -0.001]",,,7.975,-7.555,,,-0.258,-0.148,-0.142,-0.138
84.02,Shear,,,,"[-0.256, 7.975, -7.555, -0.143, -0.122, -0.122, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.143,-0.122,-0.122
85.01,Shear,,,,"[-0.256, 7.975, -7.555, -0.15, -0.133, -0.128, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.15,-0.133,-0.128
86.02,Shear,,,,"[-0.256, 7.975, -7.557, -0.147, -0.135, -0.136, -0.001, -0.001]",,,7.975,-7.557,,,-0.256,-0.147,-0.135,-0.136
87.01,Shear,,,,"[-0.256, 7.975, -7.555, -0.129, -0.119, -0.12, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.129,-0.119,-0.12
88.02,Shear,,,,"[-0.255, 7.975, -7.555, -0.143, -0.129, -0.125, -0.001, -0.001]",,,7.975,-7.555,,,-0.255,-0.143,-0.129,-0.125
89.01,Shear,,,,"[-0.256, 7.975, -7.557, -0.151, -0.127, -0.122, -0.001, -0.001]",,,7.975,-7.557,,,-0.256,-0.151,-0.127,-0.122
90.02,Shear,,,,"[-0.256, 7.975, -7.555, -0.154, -0.15, -0.146, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.154,-0.15,-0.146
91.01,Shear,,,,"[-0.255, 7.975, -7.557, -0.15, -0.142, -0.137, -0.001, -0.001]",,,7.975,-7.557,,,-0.255,-0.15,-0.142,-0.137
92.02,Shear,,,,"[-0.256, 7.975, -7.555, -0.157, -0.143, -0.137, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.157,-0.143,-0.137
93.01,Shear,,,,"[-0.255, 7.975, -7.557, -0.147, -0.13, -0.137, -0.001, -0.001]",,,7.975,-7.557,,,-0.255,-0.147,-0.13,-0.137
94.01,Shear,,,,"[-0.255, 7.975, -7.555, -0.146, -0.129, -0.129, -0.001, -0.001]",,,7.975,-7.555,,,-0.255,-0.146,-0.129,-0.129
95.02,Shear,,,,"[-0.255, 7.975, -7.557, -0.14, -0.122, -0.118, -0.001, -0.001]",,,7.975,-7.557,,,-0.255,-0.14,-0.122,-0.118
96.01,Shear,,,,"[-0.255, 7.975, -7.555, -0.137, -0.128, -0.125, -0.001, -0.001]",,,7.975,-7.555,,,-0.255,-0.137,-0.128,-0.125
97.02,Shear,,,,"[-0.256, 7.975, -7.555, -0.136, -0.122, -0.117, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.136,-0.122,-0.117
98.02,Shear,,,,"[-0.256, 7.975, -7.557, -0.155, -0.133, -0.13, -0.001, -0.001]",,,7.975,-7.557,,,-0.256,-0.155,-0.133,-0.13
