time_s,stage,pressure,volume,displacement,transducers,cell_pressure,back_pressure,pore_pressure,axial_displacement,cell_volume,back_volume,axial_load,local_axial_1_mv,local_axial_2_mv,local_radial_mv
0.98,Saturation,,,,"[-0.256, 7.975, -7.555, -0.137, -0.131, -0.125, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.137,-0.131,-0.125
1.98,Saturation,,,,"[-0.256, 7.869, -7.555, -0.135, -0.122, -0.118, -0.001, -0.001]",,,7.869,-7.555,,,-0.256,-0.135,-0.122,-0.118
2.99,Saturation,,,,"[-0.256, 7.975, -7.555, -0.132, -0.125, -0.123, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.132,-0.125,-0.123
4.0,Saturation,,,,"[-0.256, 7.975, -7.555, -0.146, -0.131, -0.128, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.146,-0.131,-0.128
5.01,Saturation,,,,"[-0.256, 7.975, -7.555, -0.136, -0.125, -0.124, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.136,-0.125,-0.124
6.01,Saturation,,,,"[-0.256, 7.975, -7.555, -0.126, -0.12, -0.118, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.126,-0.12,-0.118
7.01,Saturation,,,,"[-0.256, 7.975, -7.557, -0.138, -0.12, -0.118, -0.001, -0.001]",,,7.975,-7.557,,,-0.256,-0.138,-0.12,-0.118
8.01,Saturation,,,,"[-0.256, 7.975, -7.555, -0.133, -0.12, -0.115, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.133,-0.12,-0.115
9.01,Saturation,,,,"[-0.256, 7.975, -7.555, -0.139, -0.122, -0.115, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.139,-0.122,-0.115
10.01,Saturation,,,,"[-0.256, 7.975, -7.555, -0.135, -0.13, -0.119, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.135,-0.13,-0.119
11.01,Saturation,,,,"[-0.256, 7.975, -7.557, -0.139, -0.121, -0.125, -0.001, -0.001]",,,7.975,-7.557,,,-0.256,-0.139,-0.121,-0.125
12.01,Saturation,,,,"[-0.256, 7.975, -7.555, -0.137, -0.126, -0.123, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.137,-0.126,-0.123
13.01,Saturation,,,,"[-0.258, 7.975, -7.555, -0.146, -0.123, -0.13, -0.001, -0.001]",,,7.975,-7.555,,,-0.258,-0.146,-0.123,-0.13
14.01,Saturation,,,,"[-0.256, 7.975, -7.555, -0.144, -0.13, -0.127, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.144,-0.13,-0.127
15.01,Saturation,,,,"[-0.256, 7.975, -7.555, -0.139, -0.13, -0.127, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.139,-0.13,-0.127
16.0,Saturation,,,,"[-0.256, 7.975, -7.555, -0.146, -0.128, -0.122, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.146,-0.128,-0.122
17.0,Saturation,,,,"[-0.256, 7.975, -7.555, -0.149, -0.138, -0.126, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.149,-0.138,-0.126
18.01,Saturation,,,,"[-0.256, 7.975, -7.555, -0.146, -0.133, -0.133, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.146,-0.133,-0.133
19.01,Saturation,,,,"[-0.256, 7.975, -7.555, -0.143, -0.132, -0.127, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.143,-0.132,-0.127
20.0,Saturation,,,,"[-0.256, 7.975, -7.555, -0.147, -0.139, -0.129, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.147,-0.139,-0.129
21.01,Saturation,,,,"[-0.256, 7.975, -7.557, -0.142, -0.129, -0.127, -0.001, -0.001]",,,7.975,-7.557,,,-0.256,-0.142,-0.129,-0.127
22.01,Saturation,,,,"[-0.256, 7.975, -7.557, -0.134, -0.12, -0.117, -0.001, -0.001]",,,7.975,-7.557,,,-0.256,-0.134,-0.12,-0.117
23.01,Saturation,,,,"[-0.256, 7.975, -7.555, -0.139, -0.115, -0.12, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.139,-0.115,-0.12
24.0,Saturation,,,,"[-0.256, 7.975, -7.555, -0.132, -0.114, -0.107, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.132,-0.114,-0.107
25.01,Saturation,,,,"[-0.256, 7.975, -7.555, -0.127, -0.115, -0.106, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.127,-0.115,-0.106
26.01,Saturation,,,,"[-0.256, 7.975, -7.555, -0.137, -0.119, -0.109, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.137,-0.119,-0.109
27.01,Saturation,,,,"[-0.256, 7.975, -7.557, -0.142, -0.117, -0.123, -0.001, -0.001]",,,7.975,-7.557,,,-0.256,-0.142,-0.117,-0.123
28.02,Saturation,,,,"[-0.256, 7.975, -7.555, -0.133, -0.11, -0.111, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.133,-0.11,-0.111
29.01,Saturation,,,,"[-0.258, 7.975, -7.557, -0.136, -0.119, -0.117, -0.001, -0.001]",,,7.975,-7.557,,,-0.258,-0.136,-0.119,-0.117
30.02,Saturation,,,,"[-0.256, 7.975, -7.555, -0.141, -0.122, -0.11, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.141,-0.122,-0.11
31.01,Saturation,,,,"[-0.256, 7.975, -7.555, -0.131, -0.124, -0.115, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.131,-0.124,-0.115
32.01,Saturation,,,,"[-0.256, 7.975, -7.555, -0.132, -0.118, -0.124, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.132,-0.118,-0.124
33.01,Saturation,,,,"[-0.256, 7.975, -7.555, -0.143, -0.127, -0.126, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.143,-0.127,-0.126
34.01,Saturation,,,,"[-0.256, 7.975, -7.555, -0.132, -0.111, -0.106, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.132,-0.111,-0.106
35.0,Saturation,,,,"[-0.256, 7.975, -7.555, -0.146, -0.132, -0.128, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.146,-0.132,-0.128
36.01,Saturation,,,,"[-0.256, 7.975, -7.555, -0.137, -0.121, -0.114, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.137,-0.121,-0.114
37.0,Saturation,,,,"[-0.256, 7.975, -7.555, -0.129, -0.119, -0.109, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.129,-0.119,-0.109
38.01,Saturation,,,,"[-0.256, 7.975, -7.555, -0.145, -0.129, -0.121, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.145,-0.129,-0.121
39.01,Saturation,,,,"[-0.256, 7.975, -7.555, -0.129, -0.123, -0.129, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.129,-0.123,-0.129
40.01,Saturation,,,,"[-0.256, 7.975, -7.555, -0.142, -0.123, -0.119, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.142,-0.123,-0.119
41.01,Saturation,,,,"[-0.256, 7.975, -7.557, -0.126, -0.111, -0.106, -0.001, -0.001]",,,7.975,-7.557,,,-0.256,-0.126,-0.111,-0.106
42.0,Saturation,,,,"[-0.256, 7.975, -7.557, -0.121, -0.105, -0.099, -0.001, -0.001]",,,7.975,-7.557,,,-0.256,-0.121,-0.105,-0.099
43.01,Saturation,,,,"[-0.256, 7.975, -7.555, -0.132, -0.117, -0.115, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.132,-0.117,-0.115
44.01,Saturation,,,,"[-0.256, 7.975, -7.555, -0.131, -0.119, -0.115, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.131,-0.119,-0.115
45.01,Saturation,,,,"[-0.256, 7.975, -7.555, -0.136, -0.124, -0.119, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.136,-0.124,-0.119
46.0,Saturation,,,,"[-0.256, 7.975, -7.555, -0.137, -0.122, -0.122, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.137,-0.122,-0.122
47.01,Saturation,,,,"[-0.256, 7.975, -7.555, -0.141, -0.13, -0.133, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.141,-0.13,-0.133
48.01,Saturation,,,,"[-0.256, 7.975, -7.555, -0.145, -0.135, -0.121, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.145,-0.135,-0.121
49.01,Saturation,,,,"[-0.256, 7.975, -7.555, -0.141, -0.121, -0.119, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.141,-0.121,-0.119
50.01,Saturation,,,,"[-0.256, 7.975, -7.555, -0.143, -0.129, -0.127, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.143,-0.129,-0.127
51.0,Saturation,,,,"[-0.256, 7.975, -7.555, -0.147, -0.136, -0.129, -0.001, -0.001]",,,7.975,-7.555,,,-0.256,-0.147,-0.136,-0.129
